FIPS,AMOUNT
37147,0
37181,0
37183,0
37187,0
38017,375000
38035,0
38039,103877
38079,0
38089,0
38093,125000
38101,0
38105,125000
39003,375000
39005,0
39013,0
39021,0
39025,0
39035,2375000
39043,0
39049,0
39051,0
39057,0
39061,1875000
39063,0
39067,0
39069,0
39077,0
39079,0
39085,0
39089,0
39093,625000
39095,0
39099,375000
39101,0
39103,0
39105,0
39109,0
39113,0
39119,0
39133,0
39139,0
39141,0
39145,0
39147,0
39149,0
39151,1125000
39153,0
39155,375000
39163,0
39165,0
40009,125000
40013,0
40017,0
40027,408462
40029,0
40037,0
40049,0
4005,0
40051,0
40061,0
4009,0
40095,0
40097,0
40101,91664
40107,56752
40109,250000
4012,0
40121,304245
40123,0
4013,0
40137,0
40143,0
4017,0
4019,750000
4021,375000
4025,0
4027,0
41001,125000
41007,125000
41019,0
41029,0
41039,0
41043,0
41047,125000
41051,250000
41061,0
42003,2000000
42007,0
42011,0
42017,0
42021,250000
42039,0
42041,0
42043,0
42045,0
42047,0
42051,0
42055,0
42063,0
42069,0
42071,0
42073,0
42075,0
42077,625000
42079,0
42085,0
42091,0
42095,0
42097,0
42107,0
42125,0
42129,0
44003,500000
44007,125000
44009,0
45009,0
45013,0
45015,0
45017,0
45021,0
45023,0
45027,0
45035,0
45045,0
45047,0
45049,225836
45051,1250000
45057,0
45063,0
45077,0
45081,0
45083,326943
45089,0
45091,0
46025,0
46095,0
46099,625000
46103,0
46109,0
46123,0
47003,0
47035,0
47053,0
47065,0
47069,0
47071,0
47075,183867
47077,123065
47093,0
47105,0
47107,0
47123,0
47125,1707702
47129,0
47133,0
47149,0
47155,0
47157,0
47163,0
47165,0
47179,0
48015,0
48021,0
48027,1500000
48029,0
48035,0
48039,110833
48051,0
48061,0
48085,0
48099,0
48113,0
48121,0
48141,0
48157,0
48181,0
48187,0
48201,3125000
48203,0
48209,0
48215,0
48245,0
48251,0
48259,0
48335,0
48339,0
48347,0
48361,0
48427,0
48429,0
48439,1875000
48441,0
48451,0
48479,0
48489,0
49011,0
49013,0
49035,1250000
49045,0
49049,0
49051,0
49053,0
49057,0
50007,125000
50027,125000
5007,0
5017,0
5027,0
5031,0
5033,125000
5035,0
5039,0
5059,0
5065,0
5067,0
5093,0
5095,0
5099,0
51003,0
51015,0
51027,0
5103,0
51041,625000
51049,0
51059,0
5107,0
51077,0
51085,0
51087,0
51089,0
51107,0
51135,0
51139,0
51149,0
51165,0
51167,0
51171,0
51173,0
51177,0
51185,0
51195,0
5123,0
5125,0
5131,0
5135,0
5141,0
5143,563094
5145,0
5147,0
51510,0
51520,0
51570,0
51650,0
51660,0
51720,0
51810,0
53005,0
53007,0
53011,0
53025,125000
53027,125000
53029,0
53033,2375000
53035,0
53047,125000
53049,0
53053,3534753
53057,250000
53061,0
53063,625000
53067,0
53069,0
53071,0
53073,0
53077,0
54001,0
54019,106813
54039,121905
54045,0
54049,250000
54057,0
54061,0
54087,72664
54089,0
54107,125000
55007,125000
55023,0
55025,375000
55057,0
55059,0
55063,0
55073,0
55079,125000
55085,0
55087,0
55089,0
55095,0
55097,0
55101,0
55113,0
55115,0
55133,0
55139,0
6001,3375000
6005,0
6007,0
