"","OTHER_PCP_RATE_PREV","CHILDREN_IN_POVERTY","PCT_EXCESSIVE_DRINKING","SEVERE_HOUSING_PROBLEMS","DRUG_POISONING_MORTALITY_RATE","OTHER_PCP_RATIO_PREV","LIMITED_TO_HEALTHYFOOD","CHLAMYDIA_CASES","PCT_UNEMPLOYED","AVG_DAILY_PM25","DRUG_POISONING_DEATHS","MAMMO_MEDICARE_ENROLLEES","NATIVE_HAWAIIAN","HIV_RATE","ANNUAL_VIOLENT_CRIMES","DENTISTS_RATIO","PCT_SINGLE_PARENT_HOUSEHOLDS","ASIAN","PCT_RURAL","SOME_COLLEGE_POPULATION","HIV_CASES","PRIMARY_CARE_PHYS_RATIO","AMERICAN_INDIAN","PCT_LBW","PRIMARY_CARE_PHYSICIANS","INJURY_DEATHS_RATE","UNEMPLOYED","CHILD_MORTALITY_RATE","MOTOR_VEHICLE_MORTALITY_RATE","TEEN_BIRTHS","AGE_65_AND_GREATER","HISPANIC","PCT_SMOKERS","PCT_SEVERE_HOUSING_PROBLEMS","PCT_FEMALE","PCT_OBESE","GRADUATION_RATE","CHLAMYDIA_RATE","PCT_DRIVE_ALONE","PCT_MAMMOGRAPHY","POP_IN_VIOLATIONS","PCT_ALC_IMPAIRED","DENTISTS_RATIO_PREV","SOME_COLLEGE","PCT_SOME_COLLEGE","CHILD_TOTAL_DEATHS","UNINSURED_CHILDREN","LONG_COMMUTE_DRIVE_ALONE","PCT_FAIR_POOR_HEALTH","PCT_NO_SOCIAL_EMO_SUPPORT","HEALTH_CARE_COSTS","INJURY_DEATHS","ACSC_RATE","State","COUNTY","STATE_SHORT","VIOLENT_CRIME_RATE","HOMICIDE_RATE","FUND_AMOUNT"
"11",529,3218,9.3,2680,18.39188082,1330,736.9575767,141,6.516064257,294,55,285,0.196284293,1604,301,1045,29.92365008,0.349203451,86.74472424,11584,302,732,0.497557858,9.8,8,99.3,1298,98.50411197,36.11496598,571,14.53479084,7.611722281,20.1,16.17869001,50.77144292,38.3,73,321.2,80.66738185,61.05263158,2,24.63768116,1056,5020,43.33563536,43,841,47.8,20.5,22.6,10848.64102,214,79.70281504,"ALABAMA","CHILTON","AL",692.2935386,4.681569663,0
"12",1256,890,11.15,590,0,183,1611.534003,63,8.954326923,283,0,213,0,650,15.33333333,2288,45.70780693,0.190769682,100,2970,260,181,0.1614205,11.6,5,80.7,447,78.18812873,44.96807267,154,19.62150664,0.579646342,19.9,11.14258735,52.28556754,38.9,77.5,462.9,82.45655237,55.39906103,2,34.61538462,2300,1292,43.5016835,37,197,42,31.6,26.8,9952.832565,57,48.34837993,"ALABAMA","CHOCTAW","AL",111.7101365,0,0
"13",840,1881,8.8,1455,0,526,2901.694996,211,12.12628058,302,0,306,0.015625,113,128,667,48.07571965,0.328125,75.98033523,5963,217,1945,0.41015625,12.9,12,72.3,1160,48.828125,31.34000119,291,17.22109614,1.1328125,13.7,15.91033352,52.8203125,36,77.90909091,821.2,86.38817179,62.74509804,781,27.02702703,679,2734,45.84940466,13,384,30.5,21.8,27.7,9764.14615,95,84.90604287,"ALABAMA","CLARKE","AL",491.4665284,8.105172721,0
"14",937,887,11.15,795,0,444,268.7410821,63,9.318001586,293,0,153,0,243,40,1291,34.78823149,0.190392502,100,3470,124,203,0.54188635,10.7,5,65.5,470,77.80890134,20.31797633,167,18.5039077,2.892501465,26.2,13.58974359,51.07644991,35.3,82.5,454.5,80.09212898,60.78431373,1527,30.76923077,1321,1420,40.9221902,10,232,39.6,28.6,26.6,9660.845658,46,107.2896914,"ALABAMA","CLAY","AL",287.4182654,0,0
"15",798,869,11.15,735,9.726869504,570,80.38999127,40,6.919642857,297,10,168,0.066947848,142,42.5,655,30.39843968,0.174064404,100,3685,90,686,0.368213162,8.5,3,85,434,78.18812873,24.31717376,186,17.4622438,2.169110263,18.9,13.62372567,50.36486577,31.3,92,269.6,79.25745163,48.80952381,700,15.38461539,673,1734,47.05563094,37,206,48.2,20,24.5,10573.44174,63,96.39664883,"ALABAMA","CLEBURNE","AL",284.17639,11.67224341,0
"16",1369,2730,9.8,2195,6.019617935,94,3708.844615,289,6.191193075,262,20,554,0.443696147,234,170.3333333,470,36.28288922,1.344953947,47.19508289,13193,411,2051,1.481628206,8.9,22,67.9,1316,95.21794329,23.77749084,551,14.9496605,6.302862236,17.7,11.59535129,50.58334159,29.9,84.77658143,572,83.99633541,66.96750903,2,29.78723404,497,7838,59.41029334,45,786,25.2,18.4,22.7,9926.746309,164,94.49955707,"ALABAMA","COFFEE","AL",343.8854343,3.310789864,0
"17",2578,2969,7.4,2970,4.462352185,1543,2770.284911,326,7.564775139,272,17,737,0.038589463,82,199.3333333,128,33.06546124,0.475936713,43.89468656,13070,382,1718,0.531064518,10.2,30,77.1,1889,86.47669247,20.73681309,651,17.79194064,2.162847535,29.6,13.39950372,51.92671677,32.2,75.61890244,598,87.62004939,64.04341927,518,13.7254902,139,7365,56.35042081,42,581,27.5,25.9,20.7,10669.62878,210,78.00574343,"ALABAMA","COLBERT","AL",364.6719477,6.037300014,0
"18",329,1330,11.15,665,10.66268593,1022,1955.507812,87,11.6419295,287,10,165,0.022900763,718,76.5,1269,47.93745842,0.129770992,80.94950106,2641,268,124,0.381679389,12.4,5,116.5,502,79.4849376,47.98208669,174,19.20499191,1.488549618,22.9,13.68312757,51.51145038,36.3,77.5,663.9,90.44958766,58.18181818,2,24.24242424,1281,1072,40.59068535,10,179,36.7,18.3,22.6,10933.54643,78,169.2052827,"ALABAMA","CONECUH","AL",603.5264881,10.66268593,0
"19",457,650,11.15,660,0,901,752.8597844,75,8.178175819,294,0,132,0.153029076,193,27.5,650,41.58632778,0.162030786,100,2624,51,117,0.612116302,12.4,14.5,101.2,347,78.18812873,33.59922349,115,17.87342696,2.115401926,30,14.47368421,50.36456927,34.3,47.5,700.1,83.08092759,57.57575758,2,54.54545455,682,772,29.42073171,37,131,42.5,25.8,22.6,10013.27983,58,88.76958585,"ALABAMA","COOSA","AL",269.8062301,0,0
"20",1740,2859,10.9,2210,4.961074645,2039,1150.606434,171,7.523567803,272,13,497,0.002625085,176,116.5,320,39.36608931,0.472515357,69.65179399,8547,338,1780,0.637895732,9.5,20,83,1245,87.69109351,30.52969012,579,19.11474114,1.433296582,28.7,15.06989431,51.63017798,33.8,77.0418251,449.3,81.2613828,63.38028169,2,27.5,352,4201,49.15174915,30,468,24.7,25,15.1,10912.37851,156,124.1264276,"ALABAMA","COVINGTON","AL",311.8517031,4.197832392,0
